NAME	GS<br> follow link to MSigDB	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
DOUBLE-STRANDED RNA BINDING	DOUBLE-STRANDED RNA BINDING	76	0.6068963	2.6983278	0	0.052000005	0	1140	"tags=24%, list=5%, signal=25%"
ENDORIBONUCLEASE ACTIVITY	ENDORIBONUCLEASE ACTIVITY	28	0.6261233	2.4184802	0	0.052000005	0.052	1467	"tags=21%, list=7%, signal=23%"
CELLULAR RESPONSE TO ESTROGEN STIMULUS	CELLULAR RESPONSE TO ESTROGEN STIMULUS	17	0.6664032	2.4137938	0	0.052000035	0.052	371	"tags=24%, list=2%, signal=24%"
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS	POSITIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS	26	0.5883408	2.389407	0	0.052000005	0.052	2145	"tags=27%, list=10%, signal=30%"
PHOSPHOTYROSINE RESIDUE BINDING	PHOSPHOTYROSINE RESIDUE BINDING	43	0.4909169	2.382431	0	0.051999964	0.052	1993	"tags=23%, list=9%, signal=26%"
POSITIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY	POSITIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY	111	0.47832566	2.2205336	0	0.052000035	0.052	3527	"tags=28%, list=16%, signal=33%"
NEGATIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY	NEGATIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY	15	0.5662452	2.2176614	0	0.05200003	0.052	1428	"tags=27%, list=7%, signal=29%"
POSITIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION	POSITIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION	24	0.54559976	2.2053437	0	0.052000005	0.052	2306	"tags=29%, list=11%, signal=33%"
POSITIVE REGULATION OF GLIAL CELL PROLIFERATION	POSITIVE REGULATION OF GLIAL CELL PROLIFERATION	21	0.64458835	2.1912398	0	0.051999975	0.052	1140	"tags=33%, list=5%, signal=35%"
OSTEOCLAST DIFFERENTIATION	OSTEOCLAST DIFFERENTIATION	34	0.63219124	2.1826675	0	0.051999964	0.052	1877	"tags=38%, list=9%, signal=42%"
HEPATOCYTE APOPTOTIC PROCESS	HEPATOCYTE APOPTOTIC PROCESS	15	0.58485216	2.181877	0	0.051999994	0.052	1595	"tags=27%, list=7%, signal=29%"
"PHOSPHATIDYLINOSITOL-3,4-BISPHOSPHATE BINDING"	"PHOSPHATIDYLINOSITOL-3,4-BISPHOSPHATE BINDING"	27	0.6131765	2.1753576	0	0.052000035	0.052	2108	"tags=33%, list=10%, signal=37%"
"RNA PHOSPHODIESTER BOND HYDROLYSIS, ENDONUCLEOLYTIC"	"RNA PHOSPHODIESTER BOND HYDROLYSIS, ENDONUCLEOLYTIC"	54	0.43524578	2.1635952	0	0.052000016	0.052	1549	"tags=13%, list=7%, signal=14%"
CELL PROJECTION ASSEMBLY	CELL PROJECTION ASSEMBLY	20	0.5515293	2.1528366	0	0.05200003	0.052	1572	"tags=25%, list=7%, signal=27%"
NUCLEOTIDYLTRANSFERASE ACTIVITY	NUCLEOTIDYLTRANSFERASE ACTIVITY	77	0.47368303	2.1435575	0	0.05200002	0.052	2637	"tags=18%, list=12%, signal=21%"
"RNA PHOSPHODIESTER BOND HYDROLYSIS, EXONUCLEOLYTIC"	"RNA PHOSPHODIESTER BOND HYDROLYSIS, EXONUCLEOLYTIC"	30	0.48516944	2.1089437	0	0.055259604	0.106	1133	"tags=10%, list=5%, signal=11%"
POSITIVE REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS	POSITIVE REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS	45	0.57135177	2.09722	0	0.055067837	0.106	2126	"tags=33%, list=10%, signal=37%"
INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS	INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS	38	0.53530264	2.0906925	0	0.054897398	0.106	1304	"tags=24%, list=6%, signal=25%"
POSITIVE REGULATION OF STRESS-ACTIVATED MAPK CASCADE	POSITIVE REGULATION OF STRESS-ACTIVATED MAPK CASCADE	23	0.67569155	2.0886006	0	0.05474489	0.106	1384	"tags=39%, list=6%, signal=42%"
CELL DEATH	CELL DEATH	36	0.5025906	2.0809743	0	0.054607663	0.106	3900	"tags=39%, list=18%, signal=47%"
LYSOSOME	LYSOSOME	357	0.4339009	2.0801494	0	0.054483507	0.106	3253	"tags=25%, list=15%, signal=29%"
POSITIVE REGULATION OF NITRIC-OXIDE SYNTHASE BIOSYNTHETIC PROCESS	POSITIVE REGULATION OF NITRIC-OXIDE SYNTHASE BIOSYNTHETIC PROCESS	18	0.6095124	2.0741906	0	0.054370616	0.106	3111	"tags=44%, list=14%, signal=52%"
WW DOMAIN BINDING	WW DOMAIN BINDING	28	0.5238128	2.0599918	0	0.054267537	0.106	811	"tags=18%, list=4%, signal=19%"
POSITIVE REGULATION OF JNK CASCADE	POSITIVE REGULATION OF JNK CASCADE	81	0.5611446	2.0551727	0	0.054173127	0.106	4331	"tags=47%, list=20%, signal=58%"
DOUBLE-STRANDED DNA BINDING	DOUBLE-STRANDED DNA BINDING	132	0.45845112	2.0510442	0	0.0540862	0.106	2779	"tags=22%, list=13%, signal=25%"
TOXIN TRANSPORT	TOXIN TRANSPORT	43	0.43546414	2.0499504	0	0.05400596	0.106	1885	"tags=14%, list=9%, signal=15%"
LYSOSOMAL MEMBRANE	LYSOSOMAL MEMBRANE	184	0.40186802	2.049378	0	0.053931672	0.106	3858	"tags=24%, list=18%, signal=29%"
