NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
PHAGOCYTIC VESICLE MEMBRANE	PHAGOCYTIC VESICLE MEMBRANE	Details ...	24	0.7565555	2.41168	0	0	0	156	"tags=33%, list=3%, signal=34%"
IMMUNE SYSTEM PROCESS	IMMUNE SYSTEM PROCESS	Details ...	133	0.77358705	2.293449	0	0	0	462	"tags=49%, list=9%, signal=52%"
INNATE IMMUNE RESPONSE	INNATE IMMUNE RESPONSE	Details ...	112	0.78521055	2.2348125	0	3.77E-04	0.002	462	"tags=52%, list=9%, signal=56%"
CELLULAR RESPONSE TO INTERFERON-GAMMA	CELLULAR RESPONSE TO INTERFERON-GAMMA	Details ...	44	0.7204215	2.1963177	0	4.27E-04	0.003	372	"tags=39%, list=7%, signal=41%"
RESPONSE TO BACTERIUM	RESPONSE TO BACTERIUM	Details ...	43	0.8068836	2.159892	0	4.83E-04	0.004	356	"tags=56%, list=7%, signal=60%"
PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS	PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS	Details ...	34	0.70263815	2.1034687	0	0.001764151	0.014	225	"tags=29%, list=4%, signal=31%"
INFLAMMATORY RESPONSE	INFLAMMATORY RESPONSE	Details ...	51	0.6330596	2.0996542	0	0.001595585	0.015	435	"tags=43%, list=9%, signal=47%"
POSITIVE REGULATION OF NF-KAPPAB TRANSCRIPTION FACTOR ACTIVITY	POSITIVE REGULATION OF NF-KAPPAB TRANSCRIPTION FACTOR ACTIVITY	Details ...	41	0.50727564	2.0807848	0	0.001460575	0.016	320	"tags=27%, list=6%, signal=28%"
ADAPTIVE IMMUNE RESPONSE	ADAPTIVE IMMUNE RESPONSE	Details ...	24	0.700213	2.0790641	0	0.001390458	0.017	435	"tags=46%, list=9%, signal=50%"
NEGATIVE REGULATION OF ANGIOGENESIS	NEGATIVE REGULATION OF ANGIOGENESIS	Details ...	31	0.66303056	2.045572	0	0.001874285	0.025	346	"tags=35%, list=7%, signal=38%"
COLLAGEN-CONTAINING EXTRACELLULAR MATRIX	COLLAGEN-CONTAINING EXTRACELLULAR MATRIX	Details ...	99	0.7405895	2.0244982	0	0.002460675	0.035	624	"tags=64%, list=12%, signal=71%"
DEFENSE RESPONSE TO VIRUS	DEFENSE RESPONSE TO VIRUS	Details ...	58	0.7943298	2.023503	0	0.002314054	0.036	555	"tags=59%, list=11%, signal=65%"
POSITIVE REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS	POSITIVE REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS	Details ...	22	0.6205291	1.9958123	0	0.003748152	0.059	167	"tags=23%, list=3%, signal=23%"
POSITIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION	POSITIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION	Details ...	21	0.61416537	1.9760139	0	0.004843031	0.079	311	"tags=33%, list=6%, signal=35%"
RESPONSE TO LIPOPOLYSACCHARIDE	RESPONSE TO LIPOPOLYSACCHARIDE	Details ...	46	0.54763484	1.9721489	0	0.00473067	0.084	426	"tags=33%, list=8%, signal=35%"
INTEGRIN BINDING	INTEGRIN BINDING	Details ...	49	0.60252905	1.9712511	0	0.004435003	0.084	619	"tags=45%, list=12%, signal=51%"
HEPARIN BINDING	HEPARIN BINDING	Details ...	37	0.65630126	1.9679904	0	0.004296307	0.087	215	"tags=32%, list=4%, signal=34%"
PROTEIN AUTOUBIQUITINATION	PROTEIN AUTOUBIQUITINATION	Details ...	16	0.68382764	1.9668536	0	0.00412936	0.088	117	"tags=25%, list=2%, signal=26%"
NEGATIVE REGULATION OF ENDOPEPTIDASE ACTIVITY	NEGATIVE REGULATION OF ENDOPEPTIDASE ACTIVITY	Details ...	48	0.75919574	1.9614512	0	0.004471391	0.099	356	"tags=56%, list=7%, signal=60%"
RESPONSE TO VIRUS	RESPONSE TO VIRUS	Details ...	39	0.7774852	1.948432	0	0.005022989	0.115	548	"tags=59%, list=11%, signal=66%"
DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM	DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM		15	0.7851885	1.9480007	0	0.004858898	0.116	409	"tags=53%, list=8%, signal=58%"
NEGATIVE REGULATION OF NEURON PROJECTION DEVELOPMENT	NEGATIVE REGULATION OF NEURON PROJECTION DEVELOPMENT		43	0.4804925	1.9448541	0	0.005199842	0.129	349	"tags=23%, list=7%, signal=25%"
