gene	Ctrl1-SRR5136882	Ctrl2-SRR5136883	Ctrl3-SRR5137136	ZIKV1-SRR5137139	ZIKV2-SRR5137142	ZIKV3-SRR5137144
0610005C13Rik	43.32630082	23.51298733	36.99415897	47.4858177	55.35110156	37.09412675
0610009B22Rik	957.6223411	975.7889741	828.9003744	887.0350747	1149.194299	1108.813627
0610009L18Rik	173.3052033	234.2255276	161.8494455	129.1614242	188.8966164	92.2340449
0610010B08Rik	1.11093079	1.808691333	0	7.597730832	0	0
0610010F05Rik	16227.36605	17431.26272	16605.75311	7790.523252	9910.482947	9137.185708
0610010K14Rik	71.09957057	79.58241864	97.1096673	76.92702468	60.62263505	77.1958854
0610012G03Rik	3738.282109	4159.990065	3500.572292	2271.721519	3540.713322	3187.087269
0610030E20Rik	9.998377111	12.66083933	6.936404807	18.04461073	11.42165588	11.02798363
0610031O16Rik	2.22186158	0.904345666	2.312134936	13.29602896	15.81460045	9.022895696
0610037L13Rik	1948.572606	1818.639135	1695.950975	1840.550294	1816.043285	1808.589315
0610038B21Rik	9.998377111	16.278222	13.87280961	19.94404344	26.35766741	18.04579139
0610039K10Rik	6.665584741	6.330419665	12.71674215	12.3463126	9.664478051	21.05342329
0610040B10Rik	127.7570409	150.1213806	164.1615804	121.5636933	136.1812816	101.2569406
0610040F04Rik	13.33116948	14.46953066	9.248539742	39.88808687	36.02214546	29.07377502
0610040J01Rik	344.3885449	378.0164886	408.0918161	263.0714301	389.2148888	325.826789
0610043K17Rik	13.33116948	7.234765331	5.780337339	37.98865416	27.23625632	58.14755004
1010001N08Rik	0	3.617382666	0	0	0	0
1110002E22Rik	202.1894038	292.1036502	166.4737154	118.7145443	97.52336942	112.2849242
1110002L01Rik	382.1601918	359.9295752	412.716086	314.3561132	387.4577109	292.7428381
1110004F10Rik	11008.2132	10847.62627	11144.49039	8473.369311	10615.98984	10650.02455
1110006O24Rik	54.43560872	61.49550532	61.27157579	58.88241395	53.59392374	71.1806216
1110008L16Rik	804.3138921	787.6850754	737.5710445	894.6328055	965.5692162	972.4676473
1110008P14Rik	2668.455758	2909.280009	2409.244603	1578.42858	2415.240924	2143.439
