mmu00010	Glycolysis / Gluconeogenesis
mmu00020	Citrate cycle (TCA cycle)
mmu00030	Pentose phosphate pathway
mmu00040	Pentose and glucuronate interconversions
mmu00051	Fructose and mannose metabolism
mmu00052	Galactose metabolism
mmu00053	Ascorbate and aldarate metabolism
mmu00061	Fatty acid biosynthesis
mmu00062	Fatty acid elongation
mmu00071	Fatty acid degradation
mmu00072	Synthesis and degradation of ketone bodies
mmu00100	Steroid biosynthesis
mmu00120	Primary bile acid biosynthesis
mmu00130	Ubiquinone and other terpenoid-quinone biosynthesis
mmu00140	Steroid hormone biosynthesis
mmu00190	Oxidative phosphorylation
mmu00220	Arginine biosynthesis
mmu00230	Purine metabolism
mmu00232	Caffeine metabolism
mmu00240	Pyrimidine metabolism
mmu00250	Alanine, aspartate and glutamate metabolism
mmu00260	Glycine, serine and threonine metabolism
mmu00270	Cysteine and methionine metabolism
mmu00280	Valine, leucine and isoleucine degradation
mmu00290	Valine, leucine and isoleucine biosynthesis
mmu00310	Lysine degradation
mmu00330	Arginine and proline metabolism
mmu00340	Histidine metabolism
mmu00350	Tyrosine metabolism
mmu00360	Phenylalanine metabolism
mmu00380	Tryptophan metabolism
mmu00400	Phenylalanine, tyrosine and tryptophan biosynthesis
mmu00410	beta-Alanine metabolism
mmu00430	Taurine and hypotaurine metabolism
mmu00440	Phosphonate and phosphinate metabolism
mmu00450	Selenocompound metabolism
mmu00471	D-Glutamine and D-glutamate metabolism
mmu00472	D-Arginine and D-ornithine metabolism
mmu00480	Glutathione metabolism
mmu00500	Starch and sucrose metabolism
mmu00510	N-Glycan biosynthesis
mmu00511	Other glycan degradation
mmu00512	Mucin type O-glycan biosynthesis
mmu00513	Various types of N-glycan biosynthesis
mmu00514	Other types of O-glycan biosynthesis
mmu00515	Mannose type O-glycan biosynthesis
mmu00520	Amino sugar and nucleotide sugar metabolism
mmu00524	Neomycin, kanamycin and gentamicin biosynthesis
mmu00531	Glycosaminoglycan degradation
mmu00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
mmu00533	Glycosaminoglycan biosynthesis - keratan sulfate
mmu00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
mmu00561	Glycerolipid metabolism
mmu00562	Inositol phosphate metabolism
mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
mmu00564	Glycerophospholipid metabolism
mmu00565	Ether lipid metabolism
mmu00590	Arachidonic acid metabolism
mmu00591	Linoleic acid metabolism
mmu00592	alpha-Linolenic acid metabolism
mmu00600	Sphingolipid metabolism
mmu00601	Glycosphingolipid biosynthesis - lacto and neolacto series
mmu00603	Glycosphingolipid biosynthesis - globo and isoglobo series
mmu00604	Glycosphingolipid biosynthesis - ganglio series
mmu00620	Pyruvate metabolism
mmu00630	Glyoxylate and dicarboxylate metabolism
mmu00640	Propanoate metabolism
mmu00650	Butanoate metabolism
mmu00670	One carbon pool by folate
mmu00730	Thiamine metabolism
mmu00740	Riboflavin metabolism
mmu00750	Vitamin B6 metabolism
mmu00760	Nicotinate and nicotinamide metabolism
mmu00770	Pantothenate and CoA biosynthesis
mmu00780	Biotin metabolism
mmu00785	Lipoic acid metabolism
mmu00790	Folate biosynthesis
mmu00830	Retinol metabolism
mmu00860	Porphyrin and chlorophyll metabolism
mmu00900	Terpenoid backbone biosynthesis
mmu00910	Nitrogen metabolism
mmu00920	Sulfur metabolism
mmu00980	Metabolism of xenobiotics by cytochrome P450
mmu00982	Drug metabolism - cytochrome P450
mmu00983	Drug metabolism - other enzymes
mmu01040	Biosynthesis of unsaturated fatty acids
