name	CTRL-1	CTRL-2	CTRL-3	CTRL-4	CTRL-5	CTRL-6	CTRL-7	CTRL-8	ZIKV-1	ZIKV-2	ZIKV-3	ZIKV-4	ZIKV-5	ZIKV-6	ZIKV-7	ZIKV-8
N-Acetyl-Asp-Glu	0.003292216	0.003155341	0.003294378	0.00329464	0.003323486	0.00306328	0.003198332	0.003408324	0.001918554	0.001825951	0.001915097	0.001617553	0.001816402	0.001925521	0.001690149	0.001987848
Homocysteine	0.00013245	0.000132526	0.000134512	0.000132428	0.000154829	0.000158524	0.000131933	0.000124062	0.000416199	0.000479655	0.000350619	0.000371026	0.000378374	0.000376495	0.000397635	0.000445125
CMP	0.00645553	0.00577234	0.006380428	0.007315359	0.0054273	0.007151055	0.006081461	0.006591083	0.011944016	0.013622136	0.013087685	0.015278761	0.014540606	0.01263148	0.013926222	0.013941389
Glycine	0.000141555	0.000238228	0.000204629	0.00022396	0.000222295	0.000189422	0.000195643	0.000218917	0.000467485	0.000443818	0.000400836	0.000540744	0.000537814	0.000547189	0.000469551	0.000497795
N-Acetyl-aspartic acid	0.006222155	0.006974716	0.0069006	0.006674621	0.006847628	0.006454546	0.006552462	0.006793987	0.004855658	0.004370905	0.004651435	0.003704564	0.004784359	0.004302768	0.004045266	0.004896061
Phosphocholine 	0.026067856	0.030054369	0.030527728	0.024564562	0.028011774	0.027216652	0.026098272	0.02605906	0.015535686	0.014349835	0.018397841	0.012777465	0.014786152	0.016151943	0.013748143	0.015808858
Cysteine	2.60589E-05	3.13298E-05	3.34519E-05	3.0735E-05	3.24326E-05	2.57663E-05	3.19939E-05	3.60786E-05	5.40806E-05	5.38012E-05	6.80163E-05	6.25185E-05	6.45014E-05	6.28647E-05	5.49868E-05	5.47757E-05
2'-Deoxycytidine	0.001463535	0.001443725	0.001182655	0.001191753	0.001505744	0.00140453	0.001419783	0.001492318	0.003230581	0.003764815	0.00421431	0.004297938	0.00447361	0.003227561	0.004730268	0.003149887
NMN	0.004882532	0.004720608	0.003716821	0.003153214	0.003947798	0.004549574	0.004621957	0.004541822	0.008085325	0.008146636	0.009650412	0.011530673	0.010474275	0.009531616	0.008713244	0.008606532
UDP-N-acetylglucosamine	0.002765337	0.002954906	0.002966393	0.002810585	0.002872072	0.002958936	0.002956611	0.002936533	0.003352336	0.003679978	0.003427537	0.003397038	0.003485267	0.003762978	0.0033411	0.003671908
Ascorbic acid	0.002901498	0.002953817	0.003253627	0.002757877	0.003385707	0.003336508	0.003480005	0.003180372	0.002212878	0.001372487	0.00178454	0.001141224	0.001460696	0.001023788	0.001133694	0.002032753
Arginine	0.000449007	0.000557895	0.000521681	0.000439064	0.000591156	0.000504354	0.000432836	0.000610776	0.000840178	0.001334102	0.00131766	0.001244525	0.001431637	0.001188705	0.001057875	0.000966761
Gamma-Glu-Cys	1.60237E-05	1.76753E-05	1.54694E-05	2.16568E-05	2.19339E-05	1.96851E-05	2.08001E-05	2.11127E-05	3.18802E-05	3.08944E-05	2.73493E-05	2.78984E-05	2.93686E-05	3.31432E-05	2.96177E-05	2.71957E-05
Homoserine	0.002198275	0.003094374	0.002747604	0.002399197	0.003247633	0.002647839	0.002671995	0.002965621	0.00451169	0.004345838	0.005275536	0.004369093	0.005157926	0.004400176	0.003722975	0.004672896
Gamma-Aminobutyric acid	0.003357924	0.003557164	0.003886342	0.003684994	0.004118582	0.003586922	0.004028673	0.003843976	0.002739172	0.002274127	0.002405807	0.001948729	0.002300592	0.002912545	0.002790795	0.002702791
Serine	0.001361525	0.001709229	0.001998529	0.001752104	0.001820263	0.001723155	0.001819679	0.001861534	0.002289066	0.002544182	0.003130657	0.002758031	0.00301646	0.003187601	0.002696061	0.002963431
Purine	0.000429169	0.00045552	0.000464457	0.000404916	0.000509895	0.000520667	0.000547575	0.00042116	0.000871504	0.001088326	0.000799261	0.001423156	0.001119343	0.001349202	0.00118834	0.001094967
N-Methyl-L-arginine	4.79655E-05	4.10333E-05	4.04037E-05	3.64644E-05	4.52392E-05	5.43101E-05	4.54668E-05	5.85726E-05	9.22502E-05	8.63063E-05	9.71998E-05	0.000118177	0.000136772	0.000131023	0.000104067	0.000143141
SDMA-ADMA	0.002769779	0.003083477	0.003576481	0.003781662	0.002802936	0.003576566	0.003620696	0.003728217	0.010805351	0.011560851	0.008823265	0.020447534	0.011741448	0.017164599	0.016563147	0.016164477
1-Methylhistidine or 3-Methylhistidine 	0.000379987	0.000396647	0.000479086	0.000571412	0.00031629	0.000493584	0.000476301	0.000465291	0.002983027	0.00250571	0.001050897	0.003564738	0.002039434	0.002757265	0.002557935	0.002140946
Guanidineacetic acid	0.000811361	0.000857853	0.001325023	0.00081824	0.000946657	0.00086432	0.000908139	0.001383372	0.00208502	0.002807796	0.002839234	0.003448271	0.003306594	0.001937876	0.002163203	0.002389823
Thymidine	5.23942E-05	4.26734E-05	5.95836E-05	7.75763E-05	4.80392E-05	3.83929E-05	5.04456E-05	5.14058E-05	0.000147852	0.000134385	0.000126977	0.000229404	0.000152268	0.000145596	0.00019387	0.00011926
Creatine	0.056059663	0.052978666	0.058835106	0.051182102	0.054228071	0.056649924	0.056442134	0.061492745	0.048536133	0.04122273	0.042977405	0.035486722	0.039298611	0.035918048	0.029650913	0.03973405
UDP-galactose	0.017105967	0.017096661	0.018294873	0.017175739	0.016319931	0.017381716	0.017450455	0.018543845	0.014531439	0.013089743	0.013851229	0.009970967	0.012192316	0.010288285	0.0103877	0.014358131
Glucuronic acid	0.000119791	9.74551E-05	0.000107732	8.79513E-05	9.5433E-05	8.89196E-05	8.76771E-05	0.000112706	0.000133432	0.000188793	0.000174902	0.00020891	0.000162626	0.000230774	0.000236956	0.000189589
Aspartic acid	0.003886492	0.00475665	0.004658105	0.004697722	0.004986783	0.004378523	0.004283854	0.004630683	0.003330305	0.003198308	0.003688521	0.003368727	0.003743434	0.003188375	0.003235575	0.00388778
Phenylalanine	0.004108795	0.004363965	0.00401977	0.003745901	0.004262079	0.00410483	0.004209429	0.00308184	0.008522899	0.013575714	0.007949844	0.018366365	0.014267266	0.015787781	0.017644867	0.011307631
Lysine	0.001660366	0.002034003	0.00211279	0.001959597	0.002583417	0.002400394	0.002294637	0.002067146	0.003387857	0.004459921	0.005501089	0.007691496	0.00567473	0.005201695	0.00560625	0.004392305
3-Methyl-2-oxovaleric acid	3.59213E-05	5.25105E-05	3.63071E-05	2.34038E-05	2.56618E-05	2.74399E-05	5.49045E-05	3.36338E-05	5.08947E-05	9.51771E-05	9.91217E-05	0.000112355	0.000100724	0.00012589	0.000137627	0.000109241
NR	0.000649207	0.000606225	0.000541015	0.000465082	0.00054121	0.000695039	0.000498776	0.000568559	0.000953245	0.000798505	0.000748181	0.001009451	0.000973428	0.00078029	0.000789412	0.0010185
N-Acetyl-L-glutamine	0.00499121	0.004266574	0.002515209	0.003336153	0.005165335	0.005012528	0.004115574	0.004204472	0.007740539	0.008813446	0.005207636	0.007422232	0.008912867	0.00904924	0.006858826	0.00753197
