pho_protein	iFOT_C_2_1	iFOT_C_2_3	iFOT_C_3_1	iFOT_C_3_2	iFOT_C_4_4	iFOT_C_4_5	iFOT_C_4_8	iFOT_C_5_3	iFOT_Z_1_3	iFOT_Z_1_4	iFOT_Z_2_10	iFOT_Z_2_11	iFOT_Z_4_12	iFOT_Z_5_6	iFOT_Z_5_7	iFOT_Z_6_3
Limch1	0.01	48.99093	64.99083	44.326545	35.43473	37.49136	0.01	44.003125	60.452378	0.01	64.619348	0.01	0.01	0.01	0.01	52.728357
Limch1	32.72018	51.74495	33.250599	34.722984	39.72587	22.99099	29.08017	27.027348	37.123322	32.636847	37.82782	41.389143	34.402641	36.936509	42.933253	30.997054
Limch1	42.42088	0.01	0.01	0.01	0.01	0.01	57.24915	0.01	0.01	49.117761	0.01	45.496489	0.01	55.017573	59.5227	0.01
Limch1	0.01	46.14498	76.346493	0.01	0.01	26.98641	23.70869	0.01	102.999006	70.171187	51.335972	130.653113	49.026205	116.049501	68.699055	131.448862
Limch1	32.17432	0.01	0.01	0.01	23.2727	0.01	0.01	0.01	0.01	55.193054	65.979479	31.943491	92.663975	0.01	58.378528	0.01
Limch1	0.01	0.01	0.01	0.01	0.01	0.01	109.6155	0.01	0.01	171.529569	0.01	0.01	199.175539	76.620634	160.239762	173.143069
Usp7	40.44036	0.01	36.67278	0.01	33.83294	0.01	0.01	0.01	30.682741	0.01	24.63152	37.822674	37.327865	22.639153	30.854337	0.01
Rab11fip5	64.06963	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Rab11fip5	0.01	0.01	0.01	0.01	0.01	46.90838	0.01	0.01	0.01	0.01	0.01	0.01	51.763816	0.01	0.01	0.01
Rab11fip5	107.6908	61.95565	78.765063	91.683941	101.2026	80.31881	80.60998	100.839448	92.510163	93.458086	100.521386	103.063575	95.356916	120.136509	153.867777	158.014906
Rab11fip5	19.01178	20.89142	0.01	0.01	0.01	0.01	0.01	0.01	0.01	23.99413	21.764109	0.01	18.365603	0.01	19.726692	0.01
Rab11fip5	0.01	0.01	0.01	0.01	0.01	46.90838	0.01	0.01	0.01	46.496519	31.937748	106.93882	102.957136	49.462111	39.403243	0.01
Rab11fip5	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	38.220135
Rab11fip5	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	23.826199	0.01	0.01	0.01	0.01
Zfp366	0.01	0.01	59.268894	0.01	0.01	62.83114	0.01	0.01	0.01	34.83789	0.01	0.01	0.01	0.01	44.027285	0.01
Gpr158	0.01	39.88727	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	29.423363	26.956789	0.01	37.69153	43.047462	30.10885
Gpr158	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	3.198764	0.01	0.01
Olfr1024	0.01	93.01505	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Sp9	0.01	23.35281	20.908426	0.01	0.01	0.01	0.01	0.01	12.115333	18.669538	0.01	0.01	0.01	0.01	9.997401	0.01
Syne2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	28.109692	0.01	0.01	0.01	0.01
Btbd8	0.01	103.1235	67.564216	31.190639	0.01	82.69896	49.19772	0.01	0.01	0.01	0.01	0.01	0.01	70.724588	0.01	0.01
Btbd8	0.01	0.01	0.01	0.01	0.01	0.01	0.01	11.824268	0.01	0.01	0.01	0.01	0.01	7.751691	0.01	0.01
Bnip2	38.57144	0.01	0.01	0.01	0.01	0.01	0.01	53.127488	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Ccdc177	32.86527	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	31.841124	0.01
Ccdc177	0.01	0.01	0.01	24.14974	0.01	31.80656	25.94304	30.330726	0.01	0.01	51.739624	0.01	31.652268	29.364073	39.432491	71.930515
Wdr34	0.01	0.01	0.01	0.01	0.01	24.93596	0.01	0.01	29.210711	0.01	0.01	0.01	27.71432	23.552635	0.01	0.01
A3galt2	0.01	0.01	0.01	0.01	2378.315	0.01	0.01	0.01	0.01	0.01	0.01	1953.994193	0.01	0.01	0.01	0.01
A3galt2	0.01	0.01	0.01	0.01	2378.315	0.01	0.01	0.01	0.01	0.01	0.01	1953.994193	0.01	0.01	0.01	0.01
A3galt2	0.01	0.01	0.01	0.01	2378.315	0.01	0.01	0.01	0.01	0.01	0.01	1953.994193	0.01	0.01	0.01	0.01
A3galt2	0.01	0.01	0.01	0.01	2378.315	0.01	0.01	0.01	0.01	0.01	0.01	1953.994193	0.01	0.01	0.01	0.01
Olfr312	0.01	0.01	0.01	0.01	66.7288	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Olfr312	0.01	0.01	0.01	0.01	66.7288	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Xkr4	0.01	0.01	54.02221	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Xkr4	0.01	0.01	0.01	57.927784	0.01	34.50596	0.01	47.532804	0.01	0.01	0.01	0.01	0.01	77.459547	45.363661	0.01
Xkr4	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	34.60876	0.01	47.39225	0.01
Nsrp1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	22.777288	40.581628	0.01	0.01	0.01	0.01
Rims1	62.23927	77.88674	94.74454	75.374444	53.49351	65.56475	48.22558	75.081904	57.014767	92.940599	70.22052	96.54957	82.983426	78.929435	98.358383	77.055539
Rims1	0.01	23.00711	0.01	0.01	31.79117	0.01	0.01	25.916793	21.086167	0.01	0.01	25.486821	0.01	16.720163	21.003874	21.322903
Rims1	160.1056	0.01	107.489958	0.01	196.4628	191.0104	157.2978	147.661916	268.219844	217.641078	195.386251	201.25028	163.184572	122.10831	200.755839	147.711472
Rims1	23.80987	0.01	0.01	0.01	26.35059	26.57214	22.74286	0.01	34.486024	0.01	0.01	40.319134	35.301139	30.475452	39.460347	0.01
Rims1	0.01	0.01	0.01	20.34619	26.95436	0.01	17.35772	0.01	37.11039	33.29992	41.148833	31.467547	0.01	24.262484	35.632978	0.01
Rims1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	19.562047	0.01	0.01	0.01	0.01
Rims1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	60.99796	0.01	0.01	0.01	0.01	0.01
Rims1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	60.99796	0.01	0.01	0.01	0.01	0.01
Rims1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	25.70027	0.01	0.01	0.01	24.536721
Rims1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	40.391423	0.01
