protein	iFOT.C_2_1	iFOT.C_2_3	iFOT.C_3_1	iFOT.C_3_2	iFOT.C_4_4	iFOT.C_4_5	iFOT.C_4_8	iFOT.C_5_3	iFOT.Z_1_3	iFOT.Z_1_4	iFOT.Z_2_10	iFOT.Z_2_11	iFOT.Z_4_12	iFOT.Z_5_6	iFOT.Z_5_7	iFOT.Z_6_3
Acad9	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.06	0.04	0.04	0.01	0.07	0.01	0.01	0.01
Angel2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.29	0.25	0.01	0.01	0.35	0.01	0.22	0.01
Col4a5	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.02
Dera	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.05	0.01	0.01	0.04	0.1	0.07
Ifi211	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.36	0.27	0.01	0.26	0.01	0.19
Limd2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	3.12	3.52	0.01	0.01	2.58	0.01	1.87
Mertk	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.02	0.02	0.04	0.01
Ncln	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.44	0.01	0.6	0.01	0.17	0.01	0.01	0.51
Parp10	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.01	0.01	0.01	0.11	0.25	0.12	0.01
Pdlim2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.05	0.08	0.01	0.01	0.01	0.06
Plod1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.15	0.01	0.01	0.01	0.06	0.05	0.09
Ppp1r3f	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.07	0.06	0.11	0.01	0.06	0.01	0.01	0.01
Ptprc	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.01	0.06	0.06	0.01	0.03	0.01	0.01
Sec23ip	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.09	0.01	0.08	0.01	0.13	0.01	0.14
Stfa3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.6	2.45	0.01	2.71	2.03
Tnfaip8l2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.49	0.39	0.25	0.43	0.01
Unc93b1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.22	0.11	0.09	0.01	0.01
Aldh16a1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.22	0.11	0.01	0.19	0.01	0.28	0.25	0.01
Carnmt1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.09	0.07	0.11	0.04	0.01	0.08
Casp1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.05	0.08	0.11	0.13	0.08	0.01	0.01	0.01
Cd2ap	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.05	0.01	0.09	0.05	0.3	0.16	0.01
Dhx38	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.09	0.1	0.09	0.01	0.07	0.01	0.01	0.06
Ecm1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.05	0.01	0.23	0.18	0.32	0.28	0.01
Esam	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.01	0.01	0.01
Exosc6	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.31	0.33	0.25	0.01	0.01	0.86	0.26
Fcgr1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.52	0.41	0.36	0.31	0.37
Folh1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.03	0.03	0.03	0.03	0.01	0.01
Gbp4	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.8	1.55	0.31	0.51	1.9
Gm5483	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	11.29	6.39	3.41	6.95	3.29
H2-Q1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.67	0.7	0.36	0.61	0.51
Il18	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.21	0.06	0.01	0.01	0.1	0.09	0.01	0.16
Lbp	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.34	0.01	0.23	0.41	0.01	0.49	0.24	0.01
Ly9	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.09	0.01	0.06	0.05	0.04
Lyz2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	3.43	0.01	0.01	3.03	3.2	4.62	2.37	0.01
Myo1f	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.06	0.01	0.01	0.07	0.04	0.04	0.01	0.04
Nubp1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.74	0.35	0.39	0.01	0.01	0.46	0.63
Oas2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.08	0.01	0.03	0.01	0.05	0.02	0.01	0.01
Rmdn3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.09	0.09	0.15	0.01	0.12	0.01	0.01	0.14
Smim1	0.01	0.01	0.01	0.01	0.01	1.57	0.01	0.01	0.01	0.01	0.01	4.65	4.3	3.27	4.3	0.01
1300017J02Rik	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.06	0.24	0.08	0.41	0.2	0.01	0.41	0.01
Apod	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.25	0.01	1.85	3.27	3.41	2.7	2.77
Cd14	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.15	0.01	0.94	0.17	0.47	0.55	0.17
Gbp9	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.21	0.44	1.09	0.07	0.52	0.48	0.01
Hck	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.13	0.14	0.3	0.13	0.24	0.01	0.23
Ifi44	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.07	0.05	0.09	0.01	0.09	0.1	0.01	0.11
Lgals3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.24	4.17	7.55	0.22	2.99	6	0.01
Ly6a	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	6.5	0.01	15.74	4.88	1.69	9.94	3.64
Ngp	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.45	0.01	1.06	3.52	0.56	2.29	1.19
Rcsd1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.27	0.36	0.18	0.63	0.01	0.37	0.74	0.01
Renbp	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.08	0.02	0.29	0.14	0.17	0.14	0.01
Rnf31	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.05	0.03	0.04	0.03	0.04	0.01	0.01	0.04
Serpina3i	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.65	0.01	0.54	0.79	0.85	0.63	0.75	0.01
Stfa2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.39	0.01	4.23	5.11	0.55	4.82	0.78
Tlr2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.05	0.31	0.14	0.22	0.26	0.14
Tspan18	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.83	0.64	0.65	0.75	0.92	0.01	1.06	0.01
Vwa1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.19	0.06	0.12	0.01	0.24	0.01	0.18	0.05
Zc3hav1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.8	0.23	0.95	0.01	0.01	0.05	0.15	0.41
Znfx1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.03	0.04	0.01	0.02	0.05	0.06	0.01
Sec23b	0.01	0.01	0.01	0.13	0.01	0.01	0.01	0.01	0.14	0.15	0.01	0.01	0.01	0.11	0.1	0.2
Nrf1	0.74	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.03	0.01	1	0.01	0.82	0.73	0.63	0.01
Hsd17b11	0.01	0.01	0.01	0.01	0.09	0.01	0.01	0.01	0.22	0.01	0.01	0.18	0.05	0.14	0.1	0.01
Masp1	0.14	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.21	0.36	0.01	0.28	0.01	0.25	0.31
Zfp37	0.04	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.08	0.18	0.06	0.01	0.01	0.11	0.17	0.01
Ampd3	0.01	0.01	0.05	0.01	0.01	0.01	0.01	0.01	0.01	0.08	0.32	0.36	0.01	0.28	0.01	0.13
Aebp1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.06	0.03	0.03	0.03	0.06	0.02
C1qa	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.56	0.07	2.57	2.4	2.38	1.03	0.01
C1qc	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.76	1.92	2.78	1.02	1.39	0.95	1.48
Cd82	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.27	0.85	0.84	1.04	0.26	1.35	0.66	0.01
Cpne3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.34	0.01	1.76	1.04	0.42	0.19	0.51	0.14
Crlf3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.08	0.05	0.61	0.34	0.08	0.41	0.2	0.01
Fcer1g	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	18.59	20.71	0.01	69.11	29.01	25.99	27.77	24.22
Fetub	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	3.23	4.52	0.01	4.02	2.65	3.71	5.03	1.06
Gm4951	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.41	0.06	0.71	0.01	0.09	0.8	0.43	0.32
Golga3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.1	0.16	0.03	0.01	0.03	0.01	0.03
Gusb	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.25	0.08	0.17	0.14	0.24	0.18	0.04
Hmox1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.14	0.21	0.21	0.55	0.19	0.26	0.24
Isg20	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.12	0.08	0.13	0.22	0.08	0.01	0.17	0.1
Pld4	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.28	0.52	1.33	1.07	1.39	1.81	0.41
Plin2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.22	0.18	0.4	0.21	0.29	0.29	0.21
Qsox1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.26	0.05	0.1	0.12	0.26	0.22	0.52	0.01
S100a8	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.58	0.01	0.86	11.65	7.04	3.94	5.25	1.94
Tap2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.63	0.01	1.22	0.24	0.62	0.21	0.64	1.58
Uba7	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.18	0.16	0.25	0.01	0.16	0.24	0.08	0.26
Sgtb	0.01	0.01	0.01	0.01	0.01	0.73	0.01	0.01	0.01	0.37	0.01	0.52	0.58	0.36	1.06	0.54
Cdk6	0.01	0.01	0.07	0.01	0.01	0.01	0.01	0.01	0.11	0.04	0.08	0.06	0.05	0.08	0.01	0.01
Tmem51	0.01	0.01	0.01	0.01	0.01	0.08	0.01	0.01	0.01	0.15	0.01	0.06	0.07	0.13	0.09	0.08
Mt1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.7	5.01	1.5	0.01	1.6	0.93	1.57	0.01	2.1
Slc12a7	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.03	0.04	0.01	0.04	0.04	0.03
Nhp2	0.01	0.01	0.01	0.01	0.01	1.3	0.01	0.01	1.39	2.85	0.01	0.01	1.98	1.49	1.45	2.9
Vamp8	0.01	0.01	0.01	1.63	0.01	0.01	0.01	0.01	0.01	6.97	0.01	3.88	2.43	1.03	5.09	1.87
Zfp467	0.01	0.01	0.01	0.01	0.01	0.11	0.01	0.01	0.01	0.44	0.01	0.09	0.29	0.22	0.11	0.51
Pecam1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.03	0.01	0.01	0.07	0.02	0.01
Pla2g7	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.13	0.01	0.01	0.84	1.55	1.84	0.49	1.48	0.43
Nradd	0.01	0.3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	8.57	0.01	2.57	2.35	2.94	3.81	2.78
Igfbpl1	0.01	0.01	0.32	0.01	0.01	0.09	0.01	0.01	0.94	0.52	0.01	0.01	0.01	0.37	0.27	0.82
