pho	path	p_value	FC	log2_FC	p_fdr
XP_006531755.1_Rasgrp2_S_505	MAPK signaling pathway	0.00726491	7834.753033	12.93567208	0.073103159
XP_006496104.1_Map4k4_S_881	MAPK signaling pathway	0.00901259	5568.098281	12.44296896	0.077758402
XP_011246211.1_Cacna1e_S_2327	MAPK signaling pathway	0.031982989	2060.614649	11.00885902	0.177560733
NP_573453.2_Cacng8_T_415	MAPK signaling pathway	0.006675919	1177.22331	10.2011723	0.071654867
XP_006537658.1_Cnr1_S_317	Rap1 signaling pathway	0.049454374	163.6815356	7.354747775	0.320610515
XP_011242797.1_Mef2c_S_240	MAPK signaling pathway	0.002918637	129.4869067	7.016662414	0.049325618
XP_017176885.1_Grin2b_S_1284	cAMP signaling pathway	0.002846018	33.3838076	5.061076606	0.063323894
NP_033257.2_Sos1_S_1152	MAPK signaling pathway	0.047059625	21.10847281	4.399750299	0.234404932
XP_006531755.1_Rasgrp2_S_45	MAPK signaling pathway	0.044252375	16.15740364	4.014123483	0.229826852
XP_011246211.1_Cacna1e_S_2247	MAPK signaling pathway	0.022606631	15.98939635	3.999043568	0.134802505
NP_068740.3_Mapk8ip2_S_128	MAPK signaling pathway	0.010346047	12.83671358	3.68220399	0.079319691
XP_006541076.1_Sphk2_S_379	Calcium signaling pathway	0.045414417	10.7942913	3.432196621	0.268226985
XP_006496677.1_Abl2_S_769	Ras signaling pathway	0.021341169	8.210710014	3.037506983	0.265240242
XP_017171410.1_Ppp3cb_S_301	MAPK signaling pathway	0.000483916	8.149178161	3.026654572	0.019477608
NP_001020603.1_Crebbp_S_2363	cAMP signaling pathway	0.048061245	7.937393786	2.988665382	0.3844396
NP_001033698.1_Mapt_S_313	MAPK signaling pathway	0.021345119	7.876117868	2.977484702	0.132175547
XP_006531755.1_Rasgrp2_S_44	MAPK signaling pathway	0.028487128	6.156382035	2.622082761	0.163800987
XP_006531755.1_Rasgrp2_S_482	MAPK signaling pathway	0.00112429	5.633350885	2.493993336	0.025858668
XP_006531755.1_Rasgrp2_S_493	MAPK signaling pathway	0.006377842	5.267906452	2.397229726	0.071654867
NP_083839.1_Rap1gap_S_499	Rap1 signaling pathway	0.000184317	5.205559605	2.380053264	0.019537607
XP_006523896.1_Prkce_T_98	cGMP-PKG signaling pathway	0.002967446	4.981908242	2.31669845	0.043027972
XP_006528817.1_Pak3_S_4	Ras signaling pathway	0.002945062	4.847017028	2.277097151	0.085406793
XP_006514540.1_Camk2b_T_357	cAMP signaling pathway	0.008500464	4.701475912	2.233113726	0.108077328
XP_017172860.1_Slc8a1_S_389	cGMP-PKG signaling pathway	0.046648171	4.534692613	2.18100476	0.270559394
NP_001278839.1_Adcy9_S_373	cGMP-PKG signaling pathway	0.005383066	3.959429583	1.985292603	0.044602546
NP_001300899.1_Ppp1r1b_S_94	cAMP signaling pathway	0.017213193	3.918678657	1.970367273	0.191496777
NP_083839.1_Rap1gap_T_486	Rap1 signaling pathway	0.009437197	3.657086487	1.870694746	0.125042856
XP_006496104.1_Map4k4_S_715	MAPK signaling pathway	0.000262504	3.65195494	1.868668965	0.016317148
NP_001033698.1_Mapt_T_165	MAPK signaling pathway	0.009176457	3.447379845	1.785500269	0.077758402
NP_001035993.1_Cacna1b_S_892	MAPK signaling pathway	0.011277519	3.441762237	1.783147437	0.082530937
XP_006514540.1_Camk2b_T_287	cAMP signaling pathway	9.68E-05	3.224071231	1.688883618	0.004308631
NP_835738.1_Arrb1_S_404	MAPK signaling pathway	0.016104355	3.124429902	1.643592973	0.112730487
NP_001028523.1_Grin3a_S_986	cAMP signaling pathway	0.046085936	2.979101266	1.574877165	0.3844396
XP_006523896.1_Prkce_S_207	cGMP-PKG signaling pathway	0.004092353	2.875032373	1.523578201	0.044602546
NP_001033698.1_Mapt_S_405	MAPK signaling pathway	0.008069781	2.696458815	1.431065998	0.076425569
NP_001033698.1_Mapt_S_411	MAPK signaling pathway	0.003063703	2.614773607	1.38668604	0.049325618
NP_001300899.1_Ppp1r1b_S_9	cAMP signaling pathway	0.035262967	2.592481419	1.374333649	0.348711565
NP_034968.3_Mapt_T_42	MAPK signaling pathway	0.000779211	2.218236071	1.14941291	0.020908838
XP_017176842.1_Atp2b2_T_1143	cGMP-PKG signaling pathway	3.20E-06	2.199871176	1.137419042	0.0001854
NP_001033698.1_Mapt_S_345	MAPK signaling pathway	5.12E-05	2.198737281	1.136675232	0.008238665
NP_001074883.1_Grm5_S_984	Calcium signaling pathway	0.001235022	2.1910252	1.131606077	0.021304137
XP_006496104.1_Map4k4_S_642	MAPK signaling pathway	0.000304046	2.104444413	1.073439402	0.016317148
NP_001074883.1_Grm5_S_982	Calcium signaling pathway	0.006875973	2.099410373	1.069984198	0.07907369
XP_006524695.1_Gabbr1_T_922	cAMP signaling pathway	0.000337673	2.04216997	1.030102947	0.010017627
